Omschrijving	Art.groep	Artikelsymbool	Gemiddeldekostprijs	Alternatiefnummer	Voorraadbijhouden	VbEnh	VkEnh	AkEnh	PrsEnh	Verkoopprijs	PercVk	Basisaankoopwaarde	Categorie	Basisgewicht	VrdEnh	UniekVolgnummer	MagazijnIN	MagazijnlocatieIN	MagazijnUIT	MagazijnlocatieUIT	Soortelijkgewicht	Datum vanaanpassing	Uur vanaanpassing	Aangepastdoor	Lotnr.leverancier	BOM	EAN13-code	Externe Omschrijving	Werknemer	Vervaldatum	Vervaldatumherziening	Aankoop-code	Soortartikel	Linkdocumentcenter	Laatste bestelprijs	Gevaarlijk en/of veiligheidsvoorschriften	Allergeen	Type artikel	Laatste ontvangstprijs	Netto gewicht	Standaardop voorraad	Budgetprijs	Afdeling	Verkoop-code	Halal	Bestemming	
Relaisprint APS Rev. A	HFPRI	020074A00KOL/	51,8309	3BOA020741000	1	ST	ST	ST	ST	156,0000	0,00	55,5600		0,16	ST	0000004380	HMAG	EK03P4	HMAG	EK03P4	0,00	11/06/2019	11,48	vpa		1	="0000000173438"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,20	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Print led array	HFPRI	020075_00HME/	90,1744	3BOA020750000	1	ST	ST	ST	ST	267,5000	0,00	87,6870		0,00	ST	0000004381	HMAG	MR2K5	HMAG	MR2K5	0,00	29/11/2018	15,41	vpa		1	="0000000254090"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
I/O module 2018 1111111	HFPRI	020091A00KOL/	152,5040	="0000000445894"	1	ST	ST	ST	ST	469,0000	0,00	143,7000		0,16	ST	0000046317	HMAG	GEEN	HMAG	GEEN	0,00	05/07/2019	11,16	BAN		1	="0000000445894"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,20	0	0,00		Verkoopbaar aan klan	Niet HALAL		
I/O module 1111111 INDIEN STOCK=O BLOKKEREN	HFPRI	020091_00KOL/	156,0772	3BOA020091000	1	ST	ST	ST	ST	469,0000	0,00	143,7000		0,16	ST	0000004363	HMAG	EK03P4	HMAG	EK03P4	0,00	05/07/2019	11,24	BAN		1	="0000000171793"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,20	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Bruikbaar tot einde stock, nadien HFPRI-170039_02KOL	HFPRI	020093_00KOL/	138,4646	3BOA020093000	1	ST	ST	ST	ST	408,0000	0,00	165,0000		0,16	ST	0000004364	HMAG	EK03P5	HMAG	EK03P5	0,00	20/02/2019	13,49	mro		1	="0000000241601"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
I/O module 2018 3333333	HFPRI	020121A00KOL/	153,1706	="0000000445900"	1	ST	ST	ST	ST	456,5000	0,00	145,8000		0,00	ST	0000046318	HMAG	GEEN	HMAG	GEEN	0,00	05/07/2019	11,38	BAN		1	="0000000445900"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,20	0	0,00		Verkoopbaar aan klan	Niet HALAL		
I/O module 3333333 INDIEN STOCK=O BLOKKEREN	HFPRI	020121_00KOL/	156,7438	3BOA020121000	1	ST	ST	ST	ST	456,5000	0,00	145,8000		0,00	ST	0000004365	HMAG	EK03P5	HMAG	EK03P5	0,00	05/07/2019	11,39	BAN		1	="0000000171809"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,20	0	0,00		Verkoopbaar aan klan	Niet HALAL		
I/O module CAN 2211111	HFPRI	020122_00KOL/	156,4479	3BOA020122000	1	ST	ST	ST	ST	468,5000	0,00	144,3000		0,00	ST	0000004366	HMAG	EK03P5	HMAG	EK03P5	0,00	29/11/2018	15,41	vpa		1	="0000000254113"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Print deksel I/O module CAN	HFPRI	020131_00KOL/	0,0000	3BOA0201310000	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000004367	HMAG	EK73	HMAG	EK73	0,00	24/05/2017	16,43	msoft		0	="0000000035460"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Print processor I/O module CAN	HFPRI	020134_00KOL/	0,0000	3BOA020134000	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000004368	HMAG	EK73	HMAG	EK73	0,00	24/05/2017	16,43	msoft		0	="0000000035477"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Relais output print enkel I/O - 2018	HFPRI	020135A00KOL/	5,9000	="0000000432191"	1	ST	ST	ST	ST	20,5000	0,00	5,7000		0,00	ST	0000045026	HMAG	EK06	HMAG	EK06	0,00	29/04/2019	11,36	klam		0	="0000000432191"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Relais output print enkel I/O	HFPRI	020135_00KOL/	6,7000	3BOA020135000	1	ST	ST	ST	ST	20,5000	0,00	5,7000		0,00	ST	0000004369	HMAG	EK03P5	HMAG	EK03P5	0,00	28/08/2018	16,18	msoft		0	="0000000196789"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	5,90	0	0	Blanco lotartikel	5,90	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Print dubbele input I/O module - 2018	HFPRI	020138A00KOL/	5,3000	="0000000432207"	1	ST	ST	ST	ST	18,5000	0,00	6,0000		0,00	ST	0000045027	HMAG	GEEN	HMAG	GEEN	0,00	04/03/2019	08,47	mro		0	="0000000432207"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Print dubbele input I/O module	HFPRI	020138_00KOL/	6,1000	="0000000196765"	1	ST	ST	ST	ST	18,5000	0,00	6,0000		0,00	ST	0000004362	HMAG	EK03P5	HMAG	EK03P5	0,00	28/08/2018	16,18	msoft		0	="0000000196765"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	5,30	0	0	Blanco lotartikel	5,30	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Print enkele input I/O module	HFPRI	020139_00KOL/	6,0000	3BOA020139000	1	ST	ST	ST	ST	18,0000	0,00	6,0000		0,00	ST	0000004370	HMAG	EK03P5	HMAG	EK03P5	0,00	28/08/2018	16,18	msoft		0	="0000000254120"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
DC/DC conv.board LVS-CAN !!! niet meer bestellen indien vooraad op 020431B	HFPRI	020431A00OPT/	34,8526	3BOA020431000	1	ST	ST	ST	ST	0,0000	0,00	55,4470		0,00	ST	0000004373	HMAG	EK06P4	HMAG	EK06P4	0,00	29/11/2018	15,42	vpa		1	="0000000171816"	?		31/12/2099	31/12/2099	Niet bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Niet verkoopbaar	Niet HALAL		
Print DC/DC 24V-12V LVS_CAN Rev.B met nieuwe DC/DC converter	HFPRI	020431B00OPT/	30,7178	="0000000175852"	1	ST	ST	ST	ST	107,0000	0,00	0,0000		0,00	ST	0000018084	HMAG	EK06P4	HMAG	EK06P4	0,00	25/06/2019	13,46	mro		1	="0000000175852"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Power board MST Goca	HFPRI	020462_00MST/	85,6816	3BOA020462000	1	ST	ST	ST	ST	246,5000	0,00	61,9550		0,00	ST	0000004374	HMAG	EK02P1	HMAG	EK02P1	0,00	29/11/2018	15,42	vpa		1	="0000000254144"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Processor board MST Goca	HFPRI	020494_00MST/	119,1061	3BOA020494000	1	ST	ST	ST	ST	363,0000	0,00	100,4720		0,00	ST	0000004375	HMAG	EK02P1	HMAG	EK02P1	0,00	29/11/2018	15,42	vpa		1	="0000000254151"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
LCD display MST Rev A	HFPRI	020495A00MST/	44,9720	="0000000135511"	1	ST	ST	ST	ST	120,0000	0,00	0,0000		0,00	ST	0000014424	HMAG	GEEN	HMAG	GEEN	0,00	29/11/2018	15,42	vpa		1	="0000000135511"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
LCD module WG160128B-YYH-T	HFPRI	020495_00MST/	39,3417	3BOA020495000	1	ST	ST	ST	ST	117,5000	0,00	62,7200		0,00	ST	0000004376	HMAG	EK02P2	HMAG	EK02P2	0,00	29/11/2018	15,42	vpa		1	="0000000035552"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
I/O module complete without micromodule IOM2018	HFPRI	020522A00KOL/	106,9456	="0000000434782"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000045277	HMAG	GEEN	HMAG	GEEN	0,00	04/07/2019	16,51	MSE		1	="0000000434782"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
I/O module without micromodule	HFPRI	020522_00KOL/	104,9188	3BOA020522000	1	ST	ST	ST	ST	315,0000	0,00	100,0000		0,00	ST	0000004377	HMAG	EK02P2	HMAG	EK02P2	0,00	31/01/2019	12,21	mro		1	="0000000254175"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Screwdriverboard CANDIS !! enkel spare , indien geen stock meer 130007	HFPRI	020647_00DIS/	283,3021	3BOA020647000	1	ST	ST	ST	ST	850,0000	0,00	273,9900		0,26	ST	0000004379	HMAG	EK02P2	HMAG	EK02P2	0,00	11/06/2019	11,50	vpa		1	="0000000178297"	?		31/12/2099	31/12/2099	Niet bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
I/O module CAN 1111222	HFPRI	030062_00HME/	155,8545	3BOA030062000	1	ST	ST	ST	ST	466,5000	0,00	144,6000		0,00	ST	0000004382	HMAG	MR2K5	HMAG	MR2K5	0,00	29/11/2018	15,42	vpa		1	="0000000254199"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
DC/DC conv. 12/24V LCD	HFPRI	030171_00KOL/	74,2820	3BOA0301710000	1	ST	ST	ST	ST	225,0000	0,00	31,1640		0,00	ST	0000004383	HMAG	EK02P3	HMAG	EK02P3	0,00	29/11/2018	15,42	vpa		1	="0000000241618"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Seriële communicatieprint LM20	HFPRI	030192_00OPT/	55,4924	3BOA030192000	1	ST	ST	ST	ST	141,0000	0,00	0,0000		0,00	ST	0000004384	HMAG	EK02P3	HMAG	EK02P3	0,00	29/11/2018	15,43	vpa		1	="0000000035637"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Aanpassingsprint Schr.C-dis Rev. A	HFPRI	030222A00DIS/	24,4693	3BOA030222100	1	ST	ST	ST	ST	59,0000	0,00	9,8790		0,00	ST	0000004386	HMAG	EK73	HMAG	EK73	0,00	29/11/2018	15,43	vpa		1	="0000000035651"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Aanpassingsprint Schr.C-dis	HFPRI	030222_00DIS/	9,1121	3BOA030222000	1	ST	ST	ST	ST	26,0000	0,00	18,4920		0,00	ST	0000004385	HMAG	EK02P3	HMAG	EK02P3	0,00	29/11/2018	15,43	vpa		1	="0000000254205"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Print LED verlichting schrdr.	HFPRI	030269_00DIS/	21,7150	3BOA030269000	1	ST	ST	ST	ST	74,5000	0,00	55,7380		0,00	ST	0000004387	HMAG	EK02P3	HMAG	EK02P3	0,00	29/11/2018	15,43	vpa		1	="0000000254212"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Sturing Deltavoeding	HFPRI	030533_00CAL/	178,9072	3BOA030533000	1	ST	ST	ST	ST	557,0000	0,00	171,9860		0,00	ST	0000004390	HMAG	EK02P4	HMAG	EK02P4	0,00	29/11/2018	15,43	vpa		1	="0000000254229"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Universele ledbar	HFPRI	030541_00ACC/	70,3473	="0000000302548"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000029455	HMAG	GEEN	HMAG	GEEN	1,00	16/05/2019	09,19	mro		1	="0000000302548"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	1,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Processorboard BDP T50 Rev. A	HFPRI	030566A00OPT/	180,6441	3BOA030566100	1	ST	ST	ST	ST	542,0000	0,00	128,9400		0,00	ST	0000004391	HMAG	EK02P4	HMAG	EK02P4	0,00	29/11/2018	15,43	vpa		1	="0000000254236"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Processorboard BDP T50 rev G	HFPRI	030566G00OPT/	162,1634	="0000000142434"	1	ST	ST	ST	ST	420,0000	0,00	0,0000		0,00	ST	0000015094	HMAG	GEEN	HMAG	GEEN	0,00	29/11/2018	15,44	vpa		1	="0000000142434"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Controlpanel BDP LM1050 Rev. A	HFPRI	030606A00OPT/	45,2599	3BOA030606100	1	ST	ST	ST	ST	136,0000	0,00	93,8280		0,00	ST	0000004394	HMAG	EK02P4	HMAG	EK02P4	0,00	29/11/2018	15,44	vpa		1	="0000000163774"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Controlpanel BDP T50	HFPRI	030606_00OPT/	33,9036	3BOA030606000	1	ST	ST	ST	ST	99,0000	0,00	93,8100		0,00	ST	0000004393	HMAG	GEEN	HMAG	GEEN	0,00	29/11/2018	15,44	vpa		1	="0000000035729"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Voedingsprint LM1050 batterij	HFPRI	030643A00OPT/	92,4440	3BOA030643100	1	ST	ST	ST	ST	281,0000	0,00	81,3210		0,00	ST	0000004395	HMAG	EK02P4	HMAG	EK02P4	0,00	19/04/2019	10,32	VTH		1	="0000000254267"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
CAN I/O print Rev. A	HFPRI	040085A00OPT/	113,2778	3BOA040085100	1	ST	ST	ST	ST	387,0000	0,00	137,6660		0,00	ST	0000004396	HMAG	EK02P4	HMAG	EK02P4	0,00	29/11/2018	15,44	vpa		1	="0000000241625"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
LCD display LM50 Rev A	HFPRI	040131A00OPT/	45,7244	3BOA040131000	1	ST	ST	ST	ST	137,0000	0,00	66,6960		0,00	ST	0000014425	HMAG	EK02P5	HMAG	EK02P5	0,00	04/07/2019	09,23	vpa		1	="0000000190985"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
LCD display module LM50	HFPRI	040131_00OPT/	43,9569	="0000000163255"	1	ST	ST	ST	ST	132,0000	0,00	66,6960		0,00	ST	0000016830	HMAG	GEEN	HMAG	GEEN	0,00	28/08/2018	16,18	msoft		0	="0000000163255"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Multiplex board hoogtedetectie	HFPRI	040132_00KOL/	0,0000	3BOA040132000	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000004398	HMAG	GEEN	HMAG	GEEN	0,00	24/05/2017	16,43	msoft		0	="0000000035774"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Powerblok LM1050	HFPRI	040136_00OPT/	197,5862	3BOA040136000	1	ST	ST	ST	ST	584,0000	0,00	115,4610		0,72	ST	0000004399	HMAG	EK02P5	HMAG	EK02P5	0,00	29/11/2018	15,44	vpa		1	="0000000254298"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Bedieningspaneel LM1050 Rev. A	HFPRI	040137A00OPT/	299,1771	3BOA040137100	1	ST	ST	ST	ST	897,0000	0,00	346,9670		0,62	ST	0000004401	HMAG	EK02P5	HMAG	EK02P5	0,00	29/11/2018	15,44	vpa		1	="0000000164252"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Bedieningspaneel LM1050 Rev. A 12 Cellen	HFPRI	040137A01OPT/	311,2355	="0000000378444"	1	ST	ST	ST	ST	897,0000	0,00	256,4740		0,62	ST	0000038960	HMAG	GEEN	HMAG	GEEN	0,00	29/11/2018	15,45	vpa		1	="0000000378444"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Bedieningspaneel LM1050	HFPRI	040137_00OPT/	307,5181	3BOA040137000	1	ST	ST	ST	ST	897,0000	0,00	256,4740		0,00	ST	0000004400	HMAG	GEEN	HMAG	GEEN	0,00	29/11/2018	15,44	vpa		1	="0000000254311"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Stuurprint CMOS zonder VGA	HFPRI	040190_00OPT/	175,0000	3BOA040190000	1	ST	ST	ST	ST	525,0000	0,00	175,0000		0,00	ST	0000004402	HMAG	EK01P1	HMAG	EK01P1	0,00	28/08/2018	16,18	msoft		0	="0000000254328"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Camera sensor Rev. A	HFPRI	040191A00OPT/	29,2232	="0000000186421"	1	ST	ST	ST	ST	90,5000	0,00	0,0000		0,00	ST	0000019088	HMAG	GEEN	HMAG	GEEN	0,00	28/08/2018	16,18	msoft		1	="0000000186421"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
